RowNumber,species_1,cluster_1,species_2,cluster_2,dist,neighborhood,cross_species_cluster1_species_1,cross_species_cluster2_species_2,NewSortColumn
29073,4,85,5,90,61.46589246,181,83,95,1
18418,1,85,4,91,44.12375131,181,83,95,1
743,3,85,1,91,67.21762184,181,83,95,1
8518,3,85,4,91,69.37165626,181,83,95,1
15635,1,85,2,92,48.18007825,181,83,95,1
4695,3,85,2,92,65.73062412,181,83,95,1
911,3,85,1,95,67.83444274,181,83,95,1
21266,1,85,5,96,44.21308995,181,83,95,1
953,3,85,1,96,65.2821906,181,83,95,1
12471,3,85,5,96,62.49836882,181,83,95,1
29197,4,85,5,96,59.65200777,181,83,95,1
21344,1,85,5,98,47.71454215,181,83,95,1
12555,3,85,5,98,66.6533486,181,83,95,1
29259,4,85,5,98,63.94297198,181,83,95,1
29074,4,122,5,90,50.23173214,181,83,95,1
29198,4,122,5,96,53.41288955,181,83,95,1
29260,4,122,5,98,57.74256287,181,83,95,1
15750,1,83,2,96,64.01192834,181,84,92,1
15828,1,83,2,98,58.47159216,181,84,92,1
18689,1,83,4,99,59.71285629,181,84,92,1
21381,1,83,5,99,63.48591364,181,84,92,1
24028,2,83,4,99,59.39500035,181,84,92,1
26813,2,83,5,99,63.52391622,181,84,92,1
29288,4,83,5,99,58.05118509,181,84,92,1
21420,1,83,5,100,55.94159668,181,84,92,1
26845,2,83,5,100,55.47443417,181,84,92,1
29319,4,83,5,100,46.43650381,181,84,92,1
29289,4,84,5,99,66.71139301,181,84,92,1
29320,4,84,5,100,61.95120559,181,84,92,1
15759,1,92,2,96,58.0769188,181,84,92,1
15837,1,92,2,98,45.76938967,181,84,92,1
18698,1,92,4,99,48.25762666,181,84,92,1
21390,1,92,5,99,57.03360692,181,84,92,1
21429,1,92,5,100,41.48591074,181,84,92,1
4822,3,122,2,96,68.9393011,181,84,92,1
996,3,122,1,97,65.86890647,181,84,92,1
4906,3,122,2,98,64.88524318,181,84,92,1
8813,3,122,4,99,65.60754466,181,84,92,1
12598,3,122,5,99,68.36019196,181,84,92,1
12640,3,122,5,100,62.95851263,181,84,92,1
4823,3,123,2,96,64.57017211,181,84,92,1
997,3,123,1,97,60.35982409,181,84,92,1
4907,3,123,2,98,59.12389835,181,84,92,1
8814,3,123,4,99,60.38124049,181,84,92,1
12599,3,123,5,99,64.061908,181,84,92,1
12641,3,123,5,100,56.62210906,181,84,92,1
4824,3,124,2,96,61.01396259,181,84,92,1
998,3,124,1,97,54.8171138,181,84,92,1
4908,3,124,2,98,53.03589695,181,84,92,1
8815,3,124,4,99,54.65284006,181,84,92,1
12600,3,124,5,99,60.34343072,181,84,92,1
12642,3,124,5,100,49.3894989,181,84,92,1
18455,1,83,4,92,52.51146863,181,84,94,1
23836,2,83,4,92,52.25199919,181,84,94,1
15672,1,83,2,94,55.86878634,181,84,94,1
18494,1,83,4,94,54.39962643,181,84,94,1
23868,2,83,4,94,54.09410264,181,84,94,1
15711,1,83,2,95,46.56732122,181,84,94,1
18533,1,83,4,95,57.31440993,181,84,94,1
21225,1,83,5,95,52.74158359,181,84,94,1
23900,2,83,4,95,57.0424324,181,84,94,1
26685,2,83,5,95,52.52280938,181,84,94,1
29164,4,83,5,95,42.85605474,181,84,94,1
18572,1,83,4,96,51.63429089,181,84,94,1
23932,2,83,4,96,51.69075593,181,84,94,1
29165,4,84,5,95,59.3640897,181,84,94,1
18464,1,92,4,92,36.66144132,181,84,94,1
15681,1,92,2,94,42.3875872,181,84,94,1
18503,1,92,4,94,39.67999383,181,84,94,1
15720,1,92,2,95,34.53009252,181,84,94,1
18542,1,92,4,95,42.96341852,181,84,94,1
21234,1,92,5,95,38.35847676,181,84,94,1
18581,1,92,4,96,41.14799415,181,84,94,1
8561,3,122,4,92,60.3496436,181,84,94,1
870,3,122,1,94,65.54019029,181,84,94,1
4738,3,122,2,94,63.33715412,181,84,94,1
8603,3,122,4,94,62.52814962,181,84,94,1
4780,3,122,2,95,56.46500495,181,84,94,1
8645,3,122,4,95,64.80702279,181,84,94,1
12430,3,122,5,95,60.77131375,181,84,94,1
8687,3,122,4,96,59.05307673,181,84,94,1
1038,3,122,1,98,58.97302256,181,84,94,1
1122,3,122,1,100,65.4403593,181,84,94,1
1164,3,122,1,101,59.41595447,181,84,94,1
8562,3,123,4,92,53.51041068,181,84,94,1
871,3,123,1,94,59.21313568,181,84,94,1
4739,3,123,2,94,56.74254224,181,84,94,1
8604,3,123,4,94,55.26827478,181,84,94,1
4781,3,123,2,95,47.25689123,181,84,94,1
8646,3,123,4,95,58.25416857,181,84,94,1
12431,3,123,5,95,53.61218631,181,84,94,1
8688,3,123,4,96,52.43508936,181,84,94,1
1039,3,123,1,98,51.05931261,181,84,94,1
1123,3,123,1,100,59.8713515,181,84,94,1
1165,3,123,1,101,50.71642746,181,84,94,1
8563,3,124,4,92,45.17029682,181,84,94,1
872,3,124,1,94,52.31136907,181,84,94,1
4740,3,124,2,94,49.53505195,181,84,94,1
8605,3,124,4,94,47.24068267,181,84,94,1
4782,3,124,2,95,39.57232871,181,84,94,1
8647,3,124,4,95,50.44730842,181,84,94,1
12432,3,124,5,95,45.88624532,181,84,94,1
8689,3,124,4,96,46.59278347,181,84,94,1
1040,3,124,1,98,39.87236203,181,84,94,1
1124,3,124,1,100,55.10619676,181,84,94,1
1166,3,124,1,101,41.98016251,181,84,94,1
15477,1,83,2,88,62.12735138,181,84,95,1
21108,1,83,5,90,61.33198406,181,84,95,1
26589,2,83,5,90,61.79527202,181,84,95,1
29071,4,83,5,90,57.94371246,181,84,95,1
18416,1,83,4,91,65.02243367,181,84,95,1
23804,2,83,4,91,65.44925103,181,84,95,1
15633,1,83,2,92,57.54438553,181,84,95,1
21264,1,83,5,96,53.03887389,181,84,95,1
26717,2,83,5,96,53.50177162,181,84,95,1
29195,4,83,5,96,48.00898393,181,84,95,1
21342,1,83,5,98,58.87179802,181,84,95,1
26781,2,83,5,98,59.2578635,181,84,95,1
29257,4,83,5,98,54.75264718,181,84,95,1
29072,4,84,5,90,61.18204925,181,84,95,1
29196,4,84,5,96,57.14421811,181,84,95,1
29258,4,84,5,98,61.94772311,181,84,95,1
15486,1,92,2,88,58.19833486,181,84,95,1
21117,1,92,5,90,58.09574297,181,84,95,1
18425,1,92,4,91,61.3102,181,84,95,1
15642,1,92,2,92,51.98215715,181,84,95,1
21273,1,92,5,96,48.60578029,181,84,95,1
21351,1,92,5,98,55.3446991,181,84,95,1
4528,3,122,2,88,64.82483571,181,84,95,1
12304,3,122,5,90,63.3419291,181,84,95,1
744,3,122,1,91,65.07212789,181,84,95,1
8519,3,122,4,91,67.61851377,181,84,95,1
4696,3,122,2,92,62.91464654,181,84,95,1
912,3,122,1,95,65.31721291,181,84,95,1
954,3,122,1,96,62.27886971,181,84,95,1
12472,3,122,5,96,59.02626604,181,84,95,1
12556,3,122,5,98,63.89960783,181,84,95,1
4529,3,123,2,88,63.07088618,181,84,95,1
12305,3,123,5,90,62.40293352,181,84,95,1
745,3,123,1,91,62.90826849,181,84,95,1
8520,3,123,4,91,65.91670216,181,84,95,1
4697,3,123,2,92,58.28761332,181,84,95,1
913,3,123,1,95,60.76965554,181,84,95,1
955,3,123,1,96,57.22689799,181,84,95,1
12473,3,123,5,96,53.74646843,181,84,95,1
12557,3,123,5,98,59.44628197,181,84,95,1
4530,3,124,2,88,60.90914935,181,84,95,1
12306,3,124,5,90,60.66517122,181,84,95,1
746,3,124,1,91,60.82411239,181,84,95,1
8521,3,124,4,91,64.00848603,181,84,95,1
